TransactionID|TransactionDate|AccountNumber|CustomerName|TransactionType|Merchant|Category|Amount|Currency|BalanceAfter|PaymentMethod|Status
TXN100127|2025-10-19|ACCT13472|Emily Johnson|C|Apple|Bills|42.89|USD|5691.02|Zelle|Completed
TXN100128|2026-01-30|ACCT76108|David Wilson|D|Costco|Bills|856.6|USD|19738.15|Wire|Completed
TXN100129|2026-01-30|ACCT66003|David Wilson|C|Target|Retail|4221.83|USD|14869.95|Zelle|Failed
TXN100130|2025-07-08|ACCT66273|Jessica Davis|D|Walmart|Dining|318.57|USD|11594.32|Credit Card|Failed
TXN100131|2025-09-30|ACCT89632|Jessica Davis|C|Costco|Dining|3003.95|USD|7886.34|ACH|Pending
TXN100132|2025-01-21|ACCT83402|Jessica Davis|C|Amazon|Bills|1913.82|USD|17784.18|ACH|Failed
TXN100133|2025-05-31|ACCT10730|Jessica Davis|D|Costco|Groceries|1870.77|USD|14465.43|Wire|Reversed
TXN100134|2025-05-29|ACCT49644|Jessica Davis|C|Amazon|Dining|377.84|USD|13921.75|ACH|Pending
TXN100135|2025-09-25|ACCT25872|Emily Johnson|D|Apple|Retail|4483.08|USD|17805.87|Debit Card|Completed
TXN100136|2025-03-26|ACCT53169|John Smith|D|Shell|Fuel|2618.71|USD|9669.03|ACH|Reversed
TXN100137|2025-04-24|ACCT41586|John Smith|C|Target|Electronics|436.61|USD|3684.68|Debit Card|Pending
TXN100138|2025-11-20|ACCT31211|Emily Johnson|C|Costco|Fuel|3646.72|USD|18596.55|Wire|Completed
TXN100139|2025-02-06|ACCT91274|Michael Brown|C|Apple|Fuel|3346.81|USD|12808.82|ACH|Reversed
TXN100140|2026-01-02|ACCT91763|Sarah Miller|D|Apple|Bills|2024.51|USD|13627.14|Credit Card|Pending
TXN100141|2025-02-25|ACCT21998|Emily Johnson|D|Walmart|Bills|217.44|USD|8632.43|ACH|Pending
TXN100142|2025-09-11|ACCT55240|John Smith|C|Starbucks|Electronics|1965.55|USD|14569.41|Zelle|Failed
TXN100143|2025-10-10|ACCT14285|Emily Johnson|C|Amazon|Electronics|1117.97|USD|8157.95|Debit Card|Reversed
TXN100144|2025-02-05|ACCT12867|David Wilson|D|Costco|Fuel|3312.64|USD|16575.61|ACH|Pending
TXN100145|2025-12-26|ACCT98032|Michael Brown|C|Walmart|Groceries|68.01|USD|3077.98|Wire|Pending
TXN100146|2025-08-21|ACCT90119|David Wilson|C|Walmart|Groceries|4830.79|USD|9933.3|Wire|Failed
TXN100147|2026-01-16|ACCT80179|Sarah Miller|D|Walmart|Retail|3540.89|USD|6747.83|Credit Card|Pending
TXN100148|2025-07-23|ACCT48543|Emily Johnson|D|Apple|Bills|1092.41|USD|6208.04|Zelle|Completed
TXN100149|2025-06-11|ACCT12748|Michael Brown|C|Starbucks|Bills|1065.08|USD|7098.25|Credit Card|Pending
TXN100150|2025-01-31|ACCT77537|David Wilson|C|Apple|Groceries|4529.0|USD|4047.39|Credit Card|Reversed
TXN100151|2025-02-16|ACCT54571|John Smith|D|Apple|Electronics|736.27|USD|14107.34|Zelle|Reversed
TXN100152|2025-06-22|ACCT84117|John Smith|C|Starbucks|Dining|-46.65|USD|7150.81|ACH|Failed
TXN100153|2025-05-07|ACCT77139|Emily Johnson|C|Apple|Electronics|586.13|USD|9511.98|ACH|Pending
TXN100154|2025-08-01|ACCT28500|John Smith|C|Walmart|Electronics|2741.78|USD|15283.79|Wire|Completed
TXN100155|2025-10-03|ACCT49931|John Smith|D|Starbucks|Fuel|3108.02|USD|3497.2|Debit Card|Failed
TXN100156|2025-09-25|ACCT88702|Emily Johnson|D|Shell|Groceries|2638.38|USD|9436.47|ACH|Failed
TXN100157|2025-10-04|ACCT37547|Sarah Miller|C|Apple|Dining|-123.58|USD|3233.47|ACH|Failed
TXN100158|2025-06-09|ACCT51040|John Smith|C|Walmart|Dining|-106.33|USD|3432.08|Wire|Completed
TXN100159|2025-01-03|ACCT76734|Michael Brown|D|Amazon|Electronics|3885.2|USD|10890.41|Wire|Completed
TXN100160|2025-07-06|ACCT67863|Jessica Davis|C|Walmart|Dining|564.43|USD|18311.75|Wire|Failed
TXN100161|2025-12-21|ACCT84171|John Smith|D|Shell|Retail|3237.85|USD|15702.61|Zelle|Failed
TXN100162|2025-11-04|ACCT43141|John Smith|D|Amazon|Fuel|4455.79|USD|6980.66|ACH|Completed
TXN100163|2026-02-04|ACCT61827|Jessica Davis|D|Walmart|Retail|4393.51|USD|5813.31|Wire|Completed
TXN100164|2025-05-30|ACCT15298|Michael Brown|C|Starbucks|Bills|2312.81|USD|19803.13|Zelle|Reversed
TXN100165|2025-08-11|ACCT38838|John Smith|C|Walmart|Electronics|4847.27|USD|12146.94|Wire|Reversed
TXN100166|2025-04-25|ACCT56615|Emily Johnson|C|Costco|Electronics|-499.42|USD|8501.53|Zelle|Failed
TXN100167|2025-08-17|ACCT95366|Michael Brown|C|Costco|Bills|1318.96|USD|3968.45|Debit Card|Completed
TXN100168|2025-09-13|ACCT37961|Emily Johnson|D|Amazon|Retail|676.42|USD|13050.3|Zelle|Reversed
TXN100169|2025-03-10|ACCT62333|John Smith|C|Costco|Retail|4265.16|USD|1162.95|Debit Card|Reversed
TXN100170|2025-05-16|ACCT84985|David Wilson|C|Shell|Bills|2590.01|USD|14480.41|Zelle|Reversed
TXN100171|2025-03-12|ACCT97501|David Wilson|D|Target|Groceries|4203.15|USD|3380.1|Credit Card|Reversed
TXN100172|2025-04-03|ACCT48680|Sarah Miller|D|Target|Electronics|2132.59|USD|16808.69|Zelle|Pending
TXN100173|2025-12-24|ACCT87647|John Smith|C|Amazon|Groceries|4386.32|USD|19965.63|Debit Card|Completed
TXN100174|2025-03-02|ACCT53529|Michael Brown|C|Amazon|Groceries|2599.16|USD|6067.55|ACH|Pending
TXN100175|2025-09-08|ACCT47271|Jessica Davis|C|Amazon|Bills|1373.99|USD|5979.0|Wire|Failed
TXN100176|2025-03-12|ACCT78063|Michael Brown|D|Apple|Bills|3239.04|USD|6993.82|Wire|Pending
TXN100177|2026-01-07|ACCT90168|Michael Brown|C|Amazon|Retail|-272.9|USD|4027.97|Zelle|Reversed
TXN100178|2025-12-23|ACCT44744|John Smith|C|Shell|Fuel|1669.53|USD|14369.07|ACH|Reversed
TXN100179|2025-01-31|ACCT48500|David Wilson|C|Apple|Dining|1906.12|USD|6892.14|Zelle|Completed
TXN100180|2025-04-04|ACCT33881||D|Shell|Retail|2176.32|USD|18359.43|ACH|Completed
TXN100181|2025-08-18|ACCT92152|David Wilson|D|Costco|Bills|1515.79|USD|10832.24|Credit Card|Pending
TXN100182|2025-04-29|ACCT80692|Michael Brown|C|Apple|Groceries|256.44|USD|16722.61|ACH|Failed
TXN100183|2025-03-26|ACCT93779|Michael Brown|D|Starbucks|Dining|3123.44|USD|19504.15|ACH|Pending
TXN100184|2025-03-11|ACCT74123|Michael Brown|D|Walmart|Bills|3704.68|USD|5444.95|Debit Card|Reversed
TXN100185|2025-09-04|ACCT51643|David Wilson|C|Target|Electronics|1028.93|USD|6449.15|Credit Card|Completed
TXN100186|2025-05-16|ACCT75064|David Wilson|C|Walmart|Dining|1913.5|USD|13786.33|ACH|Completed
TXN100187|2025-01-08|ACCT91011|Sarah Miller|C|Shell|Groceries|4079.93|USD|1425.48|ACH|Failed
TXN100188|2025-01-28|ACCT47931|Emily Johnson|C|Shell|Bills|4819.07|USD|4819.46|Wire|Reversed
TXN100189|2025-11-13|ACCT10413|Emily Johnson|D|Target|Electronics|1265.24|USD|1456.22|ACH|Completed
TXN100190|2025-04-08|ACCT59007|Emily Johnson|D|Starbucks|Dining|-325.19|USD|7446.36|ACH|Completed
TXN100191|2025-02-02|ACCT46368|John Smith|D|Walmart|Groceries|974.72|USD|11868.55|Zelle|Completed
TXN100192|2025-02-18|ACCT92564|David Wilson|D|Starbucks|Groceries|2095.63|USD|13957.46|Debit Card|Pending
TXN100193|2025-05-14|ACCT39212|David Wilson|D|Costco|Groceries|476.96|USD|8630.13|Wire|Failed
TXN100194|2025-02-07|ACCT29847|John Smith|C|Shell|Groceries|1927.43|USD|6567.52|ACH|Reversed
TXN100195|2025-02-25|ACCT14082|Michael Brown|D|Apple|Fuel|2173.66|USD|10888.09|Wire|Completed
TXN100196|2025-12-31|ACCT94189|David Wilson|D|Starbucks|Fuel|2176.53|USD|14376.21|Debit Card|Pending
TXN100197|2026-01-23|ACCT74555|Emily Johnson|C|Shell|Groceries|-106.85|USD|2990.26|Debit Card|Reversed
TXN100198|2025-09-01|ACCT32689|Sarah Miller|D|Walmart|Dining|4632.11|USD|4762.94|ACH|Completed
TXN100199|2025-12-16|ACCT18230|Jessica Davis|C|Target|Dining|2341.59|USD|5046.51|ACH|Completed
TXN100050|2025-07-24|ACCT15731|Sarah Miller|D|Amazon|Bills|610.65|USD|6476.8|Wire|Pending
TXN100201|2025-03-07|ACCT19299|Jessica Davis|C|Apple|Bills|2661.74|USD|10375.64|Zelle|Reversed
TXN100202|2025-09-28|ACCT36613|Emily Johnson|C|Shell|Fuel|1291.43|USD|5343.65|Wire|Pending
TXN100203|2026-01-22|ACCT79590|Emily Johnson|D|Starbucks|Retail|830.53|USD|19385.82|Wire|Failed
TXN100204|2025-07-13|ACCT12869|Michael Brown|C|Starbucks|Groceries|2794.5|USD|13545.43|Credit Card|Reversed
TXN100205|2026-01-26|ACCT76302|Michael Brown|C|Target|Fuel|2084.42|USD|12111.85|Debit Card|Failed
TXN100206|2025-04-27|ACCT49633|Jessica Davis|C|Costco|Groceries|1937.53|USD|2449.47|Wire|Completed
TXN100207|2025-10-15|ACCT45753|David Wilson|D|Apple|Dining|161.48|USD|16216.13|Credit Card|Reversed
TXN100208|2025-02-05|ACCT37979|Michael Brown|C|Walmart|Electronics|481.92|USD|10761.48|ACH|Reversed
TXN100209|2025-05-17|ACCT62275|Jessica Davis|D|Shell|Fuel|3439.58|USD|18601.03|ACH|Reversed
TXN100210|2026-02-04|ACCT70018|Jessica Davis|D|Target|Groceries|4476.19|USD|11781.19|Zelle|Completed
TXN100211|2025-09-29|ACCT26658|David Wilson|D|Target|Retail|3379.29|USD|4617.66|Debit Card|Failed
TXN100212|2025-12-14|ACCT25680|John Smith|C|Starbucks|Retail|1531.95|USD|17876.3|ACH|Failed
TXN100213|2025-07-23|ACCT55108|David Wilson|D|Walmart|Dining|283.42|USD|9540.98|Zelle|Failed
TXN100214|2026-01-18|ACCT46545|David Wilson|C|Amazon|Bills|3177.35|USD|11054.09|Wire|Failed
TXN100215|2025-12-18|ACCT52316|Jessica Davis|C|Walmart|Bills|4466.95|USD|13048.34|Credit Card|Reversed
TXN100216|2026-01-17|ACCT91856|David Wilson|D|Target|Bills|4708.63|USD|14511.14|ACH|Reversed
TXN100217|2025-08-23|ACCT84701|David Wilson|D|Costco|Retail|484.14|USD|5493.83|Credit Card|Pending
TXN100218|2025-03-19|ACCT31226|David Wilson|C|Walmart|Retail|245.16|USD|4095.93|Debit Card|Completed
TXN100219|2025-04-01|ACCT50739|David Wilson|D|Costco|Retail|3445.18|USD|3660.53|ACH|Reversed
TXN100220|2025-04-13|ACCT14557|Emily Johnson|C|Starbucks|Fuel|36.17|USD|16457.89|Debit Card|Failed
TXN100221|2026-01-23|ACCT69488|David Wilson|C|Starbucks|Bills|4615.59|USD|15605.7|Debit Card|Failed
TXN100222|2025-05-05|ACCT48433|John Smith|D|Starbucks|Groceries|1955.75|USD|5105.0|Credit Card|Failed
TXN100223|2025-01-18|ACCT72145|Jessica Davis|D|Costco|Dining|1048.91|USD|11930.93|Credit Card|Completed
TXN100224|2025-12-09|ACCT21672|Michael Brown|D|Apple|Fuel|1778.57|USD|1790.92|Zelle|Pending
TXN100225|2025-03-05|ACCT25583|Sarah Miller|C|Costco|Retail|3951.25|USD|5305.99|ACH|Failed
TXN100226|2025-01-22|ACCT92982|Michael Brown|D|Walmart|Bills|-241.01|USD|2022.12|ACH|Failed
TXN100227|2026-01-09|ACCT36377|Sarah Miller|D|Walmart|Dining|675.6|USD|6486.55|Wire|Reversed
TXN100228|2025-06-19|ACCT60873|Sarah Miller|C|Apple|Fuel|717.24|USD|8001.58|Zelle|Reversed
TXN100229|2026-01-21|ACCT49117|John Smith|D|Target|Dining|3916.15|USD|19680.84|Zelle|Pending
TXN100230|2025-09-09|ACCT38465|John Smith|C|Walmart|Dining|2788.67|USD|14487.68|Wire|Failed
TXN100231|2025-10-01|ACCT22660|John Smith|D|Amazon|Bills|1250.47|USD|4200.43|Credit Card|Completed
